"The recipe","Source file count","Source file changed count","Cumulative scanning time","99th percentile scanning time","Max scanning time","Cumulative edit time","99th percentile edit time","Max edit time"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.java.ChangeMethodAccessLevel","680","71","0","0.0","0","1635464","0.99","29558"
"org.openrewrite.java.migrate.javax.AddJaxwsRuntime","170","71","0","0.0","0","22096","0.99","1025"
"org.openrewrite.java.migrate.net.MigrateMulticastSocketGetTTLToGetTimeToLive","170","71","0","0.0","0","14795","0.99","605"
"org.openrewrite.github.SetupJavaUpgradeJavaVersion","510","71","0","0.0","0","869387","0.99","46757"
"org.openrewrite.java.migrate.UpgradeToJava6","170","71","0","0.0","0","9774","0.99","444"
"org.openrewrite.java.migrate.UpgradeToJava17","170","71","0","0.0","0","10859","0.99","536"
"org.openrewrite.java.migrate.UpgradeToJava7","170","71","0","0.0","0","10424","0.99","447"
"org.openrewrite.java.migrate.AddLombokMapstructBinding","170","71","0","0.0","0","18769","0.99","1421"
"org.openrewrite.java.migrate.RemovedLegacySunJSSEProviderName","170","71","0","0.0","0","23031","0.99","1242"
"org.openrewrite.java.migrate.UpgradeToJava8","170","71","0","0.0","0","11820","0.99","1462"
"org.openrewrite.java.migrate.util.OptionalNotEmptyToIsPresent","170","71","0","0.0","0","630717","0.99","128833"
"org.openrewrite.java.migrate.DeprecatedCountStackFramesMethod","170","71","0","0.0","0","23904","0.99","864"
"org.openrewrite.maven.ChangeManagedDependencyGroupIdAndArtifactId","340","71","0","0.0","0","3566832","0.99","1581381"
"org.openrewrite.java.migrate.sql.MigrateDriverManagerSetLogStream","170","71","0","0.0","0","121878","0.99","6312"
"org.openrewrite.java.migrate.UpgradeToJava21","170","71","0","0.0","0","11096","0.99","561"
